scope,station,from_line,from_direction_key,to_line,to_direction_key,position_primary,status,source_kind,canonical_namu_url,evidence_url,note
current_app,논현,신분당선,신논현,7호선,반포,,needs_verification,namu_station,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4,https://namu.moe/w/%EB%85%BC%ED%98%84%EC%97%AD,최신 개별 역 문서에서 숫자형 빠른환승 위치 미확정
current_app,논현,신분당선,신논현,7호선,학동,,needs_verification,namu_station,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4,https://namu.moe/w/%EB%85%BC%ED%98%84%EC%97%AD,최신 개별 역 문서에서 숫자형 빠른환승 위치 미확정
current_app,논현,신분당선,신사,7호선,반포,,needs_verification,namu_station,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4,https://namu.moe/w/%EB%85%BC%ED%98%84%EC%97%AD,최신 개별 역 문서에서 숫자형 빠른환승 위치 미확정
current_app,논현,신분당선,신사,7호선,학동,,needs_verification,namu_station,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4,https://namu.moe/w/%EB%85%BC%ED%98%84%EC%97%AD,최신 개별 역 문서에서 숫자형 빠른환승 위치 미확정
current_app,미금,수인분당선,오리,신분당선,동천,,needs_verification,official_public_data_ambiguous,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%EC%88%98%EC%9D%B8%C2%B7%EB%B6%84%EB%8B%B9%EC%84%A0,https://www.data.go.kr/data/15041060/fileData.do,공공데이터 후보 위치는 존재하나 출발 방향 컬럼이 없어 방향별 확정 전 보류
current_app,미금,수인분당선,오리,신분당선,정자,,needs_verification,official_public_data_ambiguous,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%EC%88%98%EC%9D%B8%C2%B7%EB%B6%84%EB%8B%B9%EC%84%A0,https://www.data.go.kr/data/15041060/fileData.do,공공데이터 후보 위치는 존재하나 출발 방향 컬럼이 없어 방향별 확정 전 보류
current_app,미금,수인분당선,정자,신분당선,동천,,needs_verification,official_public_data_ambiguous,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%EC%88%98%EC%9D%B8%C2%B7%EB%B6%84%EB%8B%B9%EC%84%A0,https://www.data.go.kr/data/15041060/fileData.do,공공데이터 후보 위치는 존재하나 출발 방향 컬럼이 없어 방향별 확정 전 보류
current_app,미금,수인분당선,정자,신분당선,정자,,needs_verification,official_public_data_ambiguous,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%EC%88%98%EC%9D%B8%C2%B7%EB%B6%84%EB%8B%B9%EC%84%A0,https://www.data.go.kr/data/15041060/fileData.do,공공데이터 후보 위치는 존재하나 출발 방향 컬럼이 없어 방향별 확정 전 보류
current_app,미금,신분당선,동천,수인분당선,오리,,needs_verification,official_public_data_ambiguous,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4,https://www.data.go.kr/data/15041072/fileData.do?recommendDataYn=Y,공공데이터 후보 위치는 존재하나 출발 방향 컬럼이 없어 방향별 확정 전 보류
current_app,미금,신분당선,동천,수인분당선,정자,,needs_verification,official_public_data_ambiguous,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4,https://www.data.go.kr/data/15041072/fileData.do?recommendDataYn=Y,공공데이터 후보 위치는 존재하나 출발 방향 컬럼이 없어 방향별 확정 전 보류
current_app,미금,신분당선,정자,수인분당선,오리,,needs_verification,official_public_data_ambiguous,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4,https://www.data.go.kr/data/15041072/fileData.do?recommendDataYn=Y,공공데이터 후보 위치는 존재하나 출발 방향 컬럼이 없어 방향별 확정 전 보류
current_app,미금,신분당선,정자,수인분당선,정자,,needs_verification,official_public_data_ambiguous,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4,https://www.data.go.kr/data/15041072/fileData.do?recommendDataYn=Y,공공데이터 후보 위치는 존재하나 출발 방향 컬럼이 없어 방향별 확정 전 보류
current_app,신사,신분당선,,3호선,압구정,,needs_verification,namu_station,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4,https://d.namu.moe/w/%EC%8B%A0%EC%82%AC%EC%97%AD,신분당선은 신사 종착. 최신 문서에서 숫자형 빠른환승 위치 미확정
current_app,신사,신분당선,,3호선,잠원,,needs_verification,namu_station,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4,https://d.namu.moe/w/%EC%8B%A0%EC%82%AC%EC%97%AD,신분당선은 신사 종착. 최신 문서에서 숫자형 빠른환승 위치 미확정
current_app,정자,수인분당선,미금,신분당선,미금,,needs_verification,official_public_data_ambiguous,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%EC%88%98%EC%9D%B8%C2%B7%EB%B6%84%EB%8B%B9%EC%84%A0,https://www.data.go.kr/data/15041060/fileData.do,공공데이터 후보 위치는 존재하나 출발 방향 컬럼이 없어 방향별 확정 전 보류
current_app,정자,수인분당선,미금,신분당선,판교,,needs_verification,official_public_data_ambiguous,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%EC%88%98%EC%9D%B8%C2%B7%EB%B6%84%EB%8B%B9%EC%84%A0,https://www.data.go.kr/data/15041060/fileData.do,공공데이터 후보 위치는 존재하나 출발 방향 컬럼이 없어 방향별 확정 전 보류
current_app,정자,수인분당선,수내,신분당선,미금,,needs_verification,official_public_data_ambiguous,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%EC%88%98%EC%9D%B8%C2%B7%EB%B6%84%EB%8B%B9%EC%84%A0,https://www.data.go.kr/data/15041060/fileData.do,공공데이터 후보 위치는 존재하나 출발 방향 컬럼이 없어 방향별 확정 전 보류
current_app,정자,수인분당선,수내,신분당선,판교,,needs_verification,official_public_data_ambiguous,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%EC%88%98%EC%9D%B8%C2%B7%EB%B6%84%EB%8B%B9%EC%84%A0,https://www.data.go.kr/data/15041060/fileData.do,공공데이터 후보 위치는 존재하나 출발 방향 컬럼이 없어 방향별 확정 전 보류
current_app,정자,신분당선,미금,수인분당선,미금,,needs_verification,official_public_data_ambiguous,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4,https://www.data.go.kr/data/15041072/fileData.do?recommendDataYn=Y,공공데이터 후보 위치는 존재하나 출발 방향 컬럼이 없어 방향별 확정 전 보류
current_app,정자,신분당선,미금,수인분당선,수내,,needs_verification,official_public_data_ambiguous,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4,https://www.data.go.kr/data/15041072/fileData.do?recommendDataYn=Y,공공데이터 후보 위치는 존재하나 출발 방향 컬럼이 없어 방향별 확정 전 보류
current_app,정자,신분당선,판교,수인분당선,미금,,needs_verification,official_public_data_ambiguous,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4,https://www.data.go.kr/data/15041072/fileData.do?recommendDataYn=Y,공공데이터 후보 위치는 존재하나 출발 방향 컬럼이 없어 방향별 확정 전 보류
current_app,정자,신분당선,판교,수인분당선,수내,,needs_verification,official_public_data_ambiguous,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4,https://www.data.go.kr/data/15041072/fileData.do?recommendDataYn=Y,공공데이터 후보 위치는 존재하나 출발 방향 컬럼이 없어 방향별 확정 전 보류
future_network,검암,인천2호선,검바위,공항철도,계양,,needs_verification,topology_scaffold,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4,,
future_network,검암,인천2호선,검바위,공항철도,청라국제도시,,needs_verification,topology_scaffold,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4,,
future_network,검암,인천2호선,독정,공항철도,계양,,needs_verification,topology_scaffold,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4,,
future_network,검암,인천2호선,독정,공항철도,청라국제도시,,needs_verification,topology_scaffold,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4,,
future_network,구성,GTX-A,동탄,수인분당선,보정,,needs_verification,topology_scaffold,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4,,
future_network,구성,GTX-A,동탄,수인분당선,신갈,,needs_verification,topology_scaffold,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4,,
future_network,구성,GTX-A,성남,수인분당선,보정,,needs_verification,topology_scaffold,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4,,
future_network,구성,GTX-A,성남,수인분당선,신갈,,needs_verification,topology_scaffold,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4,,
future_network,구성,수인분당선,보정,GTX-A,동탄,,needs_verification,topology_scaffold,https://namu.wiki/w/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%ED%99%98%EC%8A%B9%20%EC%A0%95%EB%B3%B4/%EC%88%98%EB%8F%84%EA%B6%8C%20%EC%A0%84%EC%B2%A0%20%EC%88%98%EC%9D%B8%C2%B7%EB%B6%84%EB%8B%B9%EC%84%A0,,
